i,Nt,h,phimv_time,phimv_error,bamphi_time,bamphi_error,kiops_time,kiops_error
1,512,0.0009765625,5.3808378,0.000505764566234348,5.3106891,0.000505764528055691,7.6131226,0.000505764528211319
2,768,0.000651041666666667,7.3719576,9.22737725373992e-05,7.1677401,9.2273766205698e-05,10.4812854,9.22737663000558e-05
3,1024,0.00048828125,9.0093869,2.81092553126871e-05,9.1841469,2.81092542893599e-05,13.968425,2.81092544427079e-05
4,1280,0.000390625,11.3002579,1.12616893237683e-05,11.4517212,1.12616875587556e-05,17.5452254,1.12616891132596e-05
5,1536,0.000325520833333333,13.4002501,5.35304116093603e-06,13.1031807,5.35303383655609e-06,21.169954,5.3530365686101e-06
6,1792,0.000279017857142857,14.4742544,2.86018411366556e-06,15.4094832,2.86018042790603e-06,24.4767944,2.86018155171538e-06
7,2048,0.000244140625,16.31279,1.66398517817132e-06,17.3995998,1.66398162386048e-06,27.9368168,1.66398213051322e-06
