t,phimv_time,phimv_error,phimv_status,bamphi_time,bamphi_error,bamphi_status,kiops_time,kiops_error,kiops_status
0.1,1.0986,1.8923596405223e-12,ok,1.5218846,4.71365754507334e-13,ok,0.3054444,2.21337817836504e-12,ok
1,1.6656304,1.59735278477433e-09,ok,3.7989057,2.02721152215158e-11,ok,0.433201,1.74691381454877e-09,ok
10,3.4460341,3.83083559847804e-09,ok,128.8169752,4.6220871519339e+290,ok,4.9447927,0.000314564713250132,ok
50,11.0807034,6.90436895768218e-09,ok,71.6319467,8.8115310334098e-06,ok,17.7252196,7.92036340446569e-12,ok
100,18.7831251,2.93849695092503e-09,ok,152.9721854,4.28357638592678e-06,ok,600.0414035,NaN,timeout
