matrix_id,err_phimv,err_phi_funm,kappa,kappa_tol
1,1.43430168362523e-16,1.32255512218237e-16,524.377994977203,5.82176523630466e-14
2,2.07586715986161e-15,9.14445390664221e-16,175.345276048496,1.94672362728294e-14
3,3.00471810318066e-16,1.91118172844356e-16,15.2847554988879,1.69694874806313e-15
4,4.92846968636708e-16,7.14903250854298e-16,225.246536311873,2.50073890830508e-14
5,5.82150726362522e-16,1.38356237112621e-15,586.5190864434,6.51166994151575e-14
6,2.2786629164813e-16,7.23977691324597e-16,478.322309765061,5.31044441493057e-14
7,3.67052571760245e-15,2.4018443185771e-16,14.524031350606,1.61249140158204e-15
8,1.43021237016531e-16,1.4825641513208e-16,6.08706659404331,6.75800148513351e-16
9,2.34401727771794e-16,3.63398281233462e-16,2.42919110598716,2.69694389708159e-16
10,1.54542283340092e-16,1.72636030348803e-16,4.60158801145977,5.10878896016173e-16
11,1.970618116017e-16,9.27539374633056e-16,56.5709612675702,6.28063837244344e-15
12,2.20840403700277e-16,1.75184288945493e-16,96.4738926441031,1.07107536888699e-14
13,1.23516286021685e-16,1.28685255515487e-16,211.556280504063,2.34874653619669e-14
14,3.15669471361701e-15,3.92186721182746e-15,165691026.074942,1.83953992122168e-08
15,2.07163399335696e-11,4.26735346401686e-09,13173760.7783714,1.46258125370517e-09
16,5.42128386070517e-16,2.51048656289647e-16,71.7961108177633,7.97096953084201e-15
17,1.86685349327409e-16,3.983348168725e-16,318.204247899596,3.53277682551663e-14
18,3.84461628415928e-15,1.30240700265364e-15,6690.24823887856,7.42766763526088e-13
19,2.21943853091841e-16,1.15879749251427e-15,428.064013640876,4.75246523957557e-14
20,2.49334519347502e-15,3.61269801530465e-15,519693.300564085,5.76975468029689e-11
21,4.27505808856539e-16,1.56538611033813e-16,6.80794286905727,7.55833492356003e-16
22,5.14502238269595e-16,4.42095752285065e-16,15.8817619716563,1.7632297812549e-15
23,5.45477776786569e-16,3.38725158067141e-16,101.877654209781,1.13106917398499e-14
24,2.87875071083444e-16,1.45794498162496e-15,748.368821679922,8.30856296740648e-14
25,1.32447763127428e-16,1.34903173021419e-16,86.4045628907431,9.59283351539753e-15
26,1.71229104702639e-16,2.0689878893492e-16,79.5868962195758,8.83592046414258e-15
27,1.01550338894724e-16,2.89758443052975e-16,89.7848968850228,9.96812597853478e-15
28,1.32373108303204e-16,2.59641807251787e-16,2.5200002909554,2.79776234508078e-16
29,1.60558833776766e-16,8.30254129583368e-17,4.88559504877664,5.42410011214649e-16
30,1.61246954547177e-16,3.69409849056657e-15,42298.310655341,4.69605583923072e-12
31,1.467982043922e-16,1.17490239686801e-16,4.35702695241254,4.83727164148078e-16
32,2.76011725895915e-16,2.44187081763931e-16,17.1502282705589,1.90405783035518e-15
33,1.25708412370077e-11,8.17565590883235e-15,4872.59788016633,5.40967035630038e-13
34,6.20474579201373e-08,0.000637568424019525,62685373031145,0.0069594744446394
35,5.09126987128204e-16,8.65938867653807e-16,1.95596920855298e+25,2171562050.79336
36,1.34017393815615e-16,1.95391893985233e-16,3.23671600375138,3.59347663153751e-16
37,1.45666631005289e-16,2.47090794156009e-16,8.89303984132377,9.8732575907465e-16
38,1.06874140714968e-16,1.44839291345166e-16,32.893771289486,3.65194222523413e-15
39,1.66476210264744e-14,4.52666948880189e-16,149.211477385829,1.65658017732083e-14
40,1.03638804344428e-16,1.80373846698475e-16,42.2481021373897,4.69048157396454e-15
41,1.40043389109776e-16,5.38054622060501e-16,25.9151045778376,2.87715457878841e-15
42,4.75163374163514e-16,3.73662331769061e-16,166.66605074413,1.85036486959478e-14
43,4.21690566103949e-16,3.33296360684258e-16,70.5948547096262,7.83760331186947e-15
44,3.31290372474634e-16,4.225378696353e-16,12.1885986840666,1.35320628969667e-15
45,2.3666115787696e-16,1.59870415389343e-16,8.40556053707567,9.332046843142e-16
46,3.20065644594251e-15,1.35291665355447e-15,349728.758880902,3.88276920483157e-11
47,2.54651318542072e-16,1.72257638360014e-15,73.011851452178,8.10594385527196e-15
48,1.40058670385872e-15,5.55696168977504e-16,106.099958812136,1.17794617185014e-14
49,4.37591409798497e-16,3.70981573048855e-16,90.8581111000231,1.00872766917196e-14
50,6.71667229868289e-16,3.20635052300978e-16,74919.7953747098,8.31776818252081e-12
