t,phimv_time,phimv_error,phimv_status,bamphi_time,bamphi_error,bamphi_status,kiops_time,kiops_error,kiops_status
1e-05,1.793211,5.62671700546578e-12,ok,18.8753655,7592358412.61778,ok,0.3080828,3.328284689435e-11,ok
0.001,1.1835532,1.30331755374706e-09,ok,600.0530295,NaN,timeout,1.2614384,1.70220732343075e-09,ok
0.1,1.5251428,2.07631431497096e-07,ok,1.8512378,NaN,breakdown,0.5982996,3.74957794114795e-07,ok
1,3.2488239,4.26901804407107e-05,ok,1.9476998,NaN,breakdown,9.5151618,2.86565543460542e-06,ok
10,18.2797632,3.57468279819478e-05,ok,2.5650274,NaN,breakdown,600.0521741,NaN,timeout
